gene	locus tag	accession number (protein_id)	description	reference	source	class
eprJ	EC042_3057	YP_006097352	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eprI	EC042_3058	YP_006097353	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eprH	EC042_3059	YP_006097354	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
etrA	EC042_3060	YP_006097355	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eivH	EC1303_c29800	AJF57665	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O70:H32 1303 (MPEC)	manually	T3SS_TTSS
epaS	EC042_3061	YP_006097356	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
epaR	EC042_3062	YP_006097357	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
epaQ	EC042_3063	YP_006097358	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
epaP	EC042_3064	YP_006097359	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
epaO	EC042_3065	YP_006097360	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eivJ	PGA_00447	CDP66667	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli D6-113.11 (MPEC)	manually	T3SS_TTSS
eivI	EC042_3068	YP_006097363	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eivC	EC042_3069	YP_006097364	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eivA	EC042_3070	YP_006097365	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eivE	EC042_3071	YP_006097366	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eivG	EC042_3072	YP_006097367	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
eivF	EC042_3073	YP_006097368	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
	EC042_3074	YP_006097369	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
	EC042_3075	YP_006097370	ETT2 (E. coli T3SS 2), INV-MXI-SPA (SPI-1)	Escherichia coli O44:H18 042 (EAEC)	manually	T3SS_TTSS
	E1470_c02180	AJG07210	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
impA	E1470_c02190	AJG07211	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsI	E1470_c02200	AJG07212	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsA	E1470_c02210	AJG07213	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsX	E1470_c02220	AJG07214	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsV	E1470_c02230	AJG07215	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsU	E1470_c02240	AJG07216	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsM	E1470_c02250	AJG07217	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsN	E1470_c02260	AJG07218	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsH	E1470_c02270	AJG07219	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsR	E1470_c02280	AJG07220	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsC	E1470_c02290	AJG07221	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsD	E1470_c02300	AJG07222	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsB	E1470_c02310	AJG07223	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
	E1470_c02320	AJG07224	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsS	E1470_c02330	AJG07225	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
	E1470_c02340	AJG07226	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
etsG	E1470_c02350	AJG07227	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
	E1470_c02370	AJG07228	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
yhhI_1	E1470_c02390	AJG07229	ECC-1470 T6SS 1, subtype i1	Escherichia coli Ont:Hnt ECC-1470 (MPEC)	manually	T6SS
	ECP_2800	YP_670685	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2801	YP_670686	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2802	YP_670687	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2803	YP_670688	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2804	YP_670689	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2805	YP_670690	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2806	YP_670691	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2807	YP_670692	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2808	YP_670693	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2809	YP_670694	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2810	YP_670695	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2811	YP_670696	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2812	YP_670697	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2813	YP_670698	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2814	YP_670699	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2815	YP_670700	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2816	YP_670701	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2817	YP_670702	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2818	YP_670703	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2819	YP_670704	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2820	YP_670705	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2821	YP_670706	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2822	YP_670707	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
	ECP_2823	YP_670708	E. coli 536 T6SS 2, subtype i2	Escherichia coli O6:K15:H31 536 (UPEC)	manually	T6SS
aaiA	EC042_4562		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiB	EC042_4563		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiC	EC042_4564		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3; hcp	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiD	EC042_4565		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiE	EC042_4566		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiF	EC042_4568		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
vgrG	EC042_4569		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiH	EC042_4570		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiI	EC042_4571		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiJ	EC042_4572		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiK	EC042_4573		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiL	EC042_4574		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiM	EC042_4574A		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiN	EC042_4575		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
icmF	EC042_4576		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3; aaiO	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
clpV	EC042_4577		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3; aaiP	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiS	EC042_4580		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiT	EC042_4581		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiU	EC042_4582		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiV	EC042_4583		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aaiW	EC042_4584		AAI/SCI-II (subtype i4b) T6SS, EAEC 042 T6SS 3	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
aec28	APECO1_1768		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec29	APECO1_1769		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec30	APECO1_1770		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec31	APECO1_1771		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec32	APECO1_1772		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec14	APECO1_1755		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
	APECO1_1753		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec11	APECO1_1752		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec8	APECO1_1750		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec7	APECO1_1749		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec26	APECO1_1766		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec25	APECO1_1765		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec24	APECO1_1764		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec23	APECO1_1763		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec22	APECO1_1762		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
	APECO1_1761		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec19	APECO1_1760		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec18	APECO1_1759		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec17	APECO1_1758		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec16	APECO1_1757		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec15	APECO1_1756		AEC (subtype i1) T6SS	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
aec27	APECO1_1767		AEC (subtype i1) T6SS; clpV	Escherichia coli O1:K1:H7 APEC O1 (APEC)	VFDB R3	T6SS
	Z0249		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
icmF	Z0250		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0251		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0252		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0253		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
clpV	Z0254		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0255		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0256		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0257		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0258		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0259		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0260		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0261		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0262		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0263		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0264		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	Z0265		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
hcp	Z0266		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
vgrG	Z0267		EHS (subtype i1) T6SS	Escherichia coli O157:H7 EDL933 (EHEC)	VFDB R3	T6SS
	EC042_4524		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4525		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4526		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4527		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4528		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4529		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4530		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4531		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4532		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4533		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4534		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4535		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4536		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4537		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4538		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4539		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4540		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4541		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4542		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4543		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
	EC042_4544		SCI-I (subtype i2) T6SS, EAEC 042 T6SS 2	Escherichia coli O44:H18 042 (EAEC)	VFDB R3	T6SS
astA	EC1303_c38650	AJF58514	enteroaggregative heat-stable enterotoxin 1 (EAST1)	Escherichia coli O70:H32 1303 (MPEC)	manually	Toxin
cdtA-I		AAD10621	cytolethal distending toxin CDT-I, DNAse I / genotoxin	Escherichia coli O86:H34 E6468/62	VFDB R3	Toxin
cdtB-I		AAD10622	cytolethal distending toxin CDT-I, DNAse I / genotoxin	Escherichia coli O86:H34 E6468/62	VFDB R3	Toxin
cdtC-I		AAD10623	cytolethal distending toxin CDT-I, DNAse I / genotoxin	Escherichia coli O86:H34 E6468/62	VFDB R3	Toxin
cdtA-II		AAA18785	cytolethal distending toxin CDT-II, DNAse I / genotoxin	Escherichia coli 9142-88	VFDB R3	Toxin
cdtB-II		AAA18786	cytolethal distending toxin CDT-II, DNAse I / genotoxin	Escherichia coli 9142-88	VFDB R3	Toxin
cdtC-II		AAA18787	cytolethal distending toxin CDT-II, DNAse I / genotoxin	Escherichia coli 9142-88	VFDB R3	Toxin
cdtA-III		AAC45442	cytolethal distending toxin CDT-III, DNAse I / genotoxin	Escherichia coli S5	VFDB R3	Toxin
cdtB-III		AAC45443	cytolethal distending toxin CDT-III, DNAse I / genotoxin	Escherichia coli S5	VFDB R3	Toxin
cdtC-III		AAC45444	cytolethal distending toxin CDT-III, DNAse I / genotoxin	Escherichia coli S5	VFDB R3	Toxin
cdtA-IV		AAT92047	cytolethal distending toxin CDT-IV, DNAse I / genotoxin	Escherichia coli O75 28C (ExPEC)	VFDB R3	Toxin
cdtB-IV		AAT92048	cytolethal distending toxin CDT-IV, DNAse I / genotoxin	Escherichia coli O75 28C (ExPEC)	VFDB R3	Toxin
cdtC-IV		AAT92049	cytolethal distending toxin CDT-IV, DNAse I / genotoxin	Escherichia coli O75 28C (ExPEC)	VFDB R3	Toxin
cdtA-V		CAD48849	cytolethal distending toxin CDT-V, DNAse I / genotoxin	Escherichia coli O157:H- 493/89	VFDB R3	Toxin
cdtB-V		CAD48850	cytolethal distending toxin CDT-V, DNAse I / genotoxin	Escherichia coli O157:H- 493/89	VFDB R3	Toxin
cdtC-V		CAD48851	cytolethal distending toxin CDT-V, DNAse I / genotoxin	Escherichia coli O157:H- 493/89	VFDB R3	Toxin
cfa		CAA61102	colicin 5, alpha-helix-PFT (pore forming toxins)	Escherichia coli ECOR-5	VFDB R3	Toxin
cta		CAA57998	colicin 10, alpha-helix-PFT (pore forming toxins)	Escherichia coli PTE10	VFDB R3	Toxin
		NP_040393	colicin A, alpha-helix-PFT (pore forming toxins)	Escherichia coli	VFDB R3	Toxin
cba	APECO1_O1CoBM120	YP_001481275	colicin B activity, alpha-helix-PFT (pore forming toxins)	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Toxin
cbi	APECO1_O1CoBM119	YP_001481274	colicin B immunity, alpha-helix-PFT (pore forming toxins)	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Toxin
cba		AAA98063	colicin B, alpha-helix-PFT (pore forming toxins)	Escherichia coli	VFDB R3	Toxin
	EcSMS35_B0007		colicin E1, alpha-helix-PFT (pore forming toxins)	Escherichia coli O19:H34 SMS-3-5 plasmid pSMS35_8 (environmental)	VFDB R3	Toxin
cia	pECS88_0104	YP_002401102	colicin Ia activitiy, alpha-helix-PFT (pore forming toxins)	Escherichia coli O45:K1:H7 S88 plasmid pECOS88 (MNEC)	manually	Toxin
imm	pECS88_0105	YP_002401103	colicin Ia immunity, alpha-helix-PFT (pore forming toxins)	Escherichia coli O45:K1:H7 S88 plasmid pECOS88 (MNEC)	manually	Toxin
cib	LH0107		colicin Ib, alpha-helix-PFT (pore forming toxins)	Escherichia coli O113:H21 EH41 (STEC)	VFDB R3	Toxin
cka		CAA61099	colicin K, alpha-helix-PFT (pore forming toxins)	Escherichia coli K49	VFDB R3	Toxin
cma	APECO1_O1CoBM118	YP_001481273	colicin M activity, alpha-helix-PFT (pore forming toxins)	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Toxin
cmi	APECO1_O1CoBM117	YP_001481272	colicin M immunity, alpha-helix-PFT (pore forming toxins)	Escherichia coli O1:K1:H7 APEC O1 plasmid pAPEC-O1-ColBM (APEC)	manually	Toxin
		CAA68592	colicin N, alpha-helix-PFT (pore forming toxins)	Escherichia coli	VFDB R3	Toxin
csa		CAB46008	colicin S4, alpha-helix-PFT (pore forming toxins)	Escherichia coli	VFDB R3	Toxin
cvaA	O2ColV63	YP_444118	colicin V (a microcin), alpha-helix-PFT (pore forming toxins)	Escherichia coli O2 APEC A2363 plasmid pAPEC-O2-ColV (APEC)	manually	Toxin
cvaB	O2ColV64	YP_444119	colicin V (a microcin), alpha-helix-PFT (pore forming toxins)	Escherichia coli O2 APEC A2363 plasmid pAPEC-O2-ColV (APEC)	manually	Toxin
cvaC	O2ColV65	YP_444120	colicin V (a microcin), alpha-helix-PFT (pore forming toxins)	Escherichia coli O2 APEC A2363 plasmid pAPEC-O2-ColV (APEC)	manually	Toxin
cvi	O2ColV66	YP_444121	colicin V (a microcin), alpha-helix-PFT (pore forming toxins)	Escherichia coli O2 APEC A2363 plasmid pAPEC-O2-ColV (APEC)	manually	Toxin
colY		AAF82683	colicin Y, alpha-helix-PFT (pore forming toxins)	Escherichia coli	VFDB R3	Toxin
clbQ		CAJ76283	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbP		CAJ76284	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbO		CAJ76285	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbN		CAJ76286	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbM		CAJ76287	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbL		CAJ76288	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbK		CAJ76289	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
clbJ		CAJ76290	colibactin (polykedite-peptide), DNAse I / genotoxin	Escherichia coli O18:K1:H7 IHE3034 (MNEC)	VFDB R3	Toxin
